model,best_params,threshold,cv_f1_mean,cv_recall_mean,cv_precision_mean,cv_roc_auc_mean,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1_score,holdout_roc_auc,holdout_pr_auc,holdout_specificity,holdout_brier_score
Logistic Regression,"{'model__C': 0.1, 'model__class_weight': None, 'model__solver': 'lbfgs'}",0.605,0.32588754079763377,0.5583333333333333,0.23144432151661296,0.7616472475515029,0.7411167512690355,0.20754716981132076,0.55,0.3013698630136986,0.7347457627118643,0.18533593858362202,0.7627118644067796,0.19151591996223857
Random Forest,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_split': 10, 'model__n_estimators': 400}",0.18,0.2726129583753754,0.8125,0.16396129890353567,0.7040149020601149,0.5380710659898477,0.1619047619047619,0.85,0.272,0.7045197740112994,0.15181737971787265,0.5028248587570622,0.1196477207217421
XGBoost,"{'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 200}",0.145,0.2597806865031414,0.5625,0.16920397784180305,0.7018697230665315,0.6903553299492385,0.18461538461538463,0.6,0.2823529411764706,0.7189265536723164,0.15604473350281567,0.7005649717514124,0.10798141360282898
